iter	Logloss
0	0.6590476997
5	0.5498371094
10	0.4995533854
15	0.4746815104
20	0.4622885417
25	0.4554498698
30	0.4511934896
35	0.4485811632
40	0.4468142361
45	0.4455390625
50	0.4445872396
55	0.4437583767
60	0.4431105903
65	0.4425388455
70	0.4420599392
75	0.4416517361
80	0.4412216146
85	0.4408835503
90	0.4405206163
95	0.4402003038
100	0.4398690104
105	0.4395450955
110	0.4392927951
115	0.4389917101
120	0.4387416233
125	0.438509375
130	0.4382359375
135	0.4379795139
140	0.4377508681
145	0.4375459201
150	0.4373364149
155	0.4371242622
160	0.4369285156
165	0.4367274306
170	0.4365418403
175	0.4363559462
180	0.4361773003
185	0.4360021267
190	0.4357846354
195	0.4355984375
200	0.435394401
205	0.4352169705
210	0.4350340712
215	0.4348468316
220	0.4346694444
225	0.4344865451
230	0.4343219618
235	0.4341457031
240	0.4339545139
245	0.4337784288
250	0.4336144097
255	0.4334422309
260	0.4332847656
265	0.433146875
270	0.4330040799
275	0.4328463108
280	0.4326751736
285	0.4325203993
290	0.4323731771
295	0.4321835503
300	0.4320383681
305	0.4318804688
310	0.4317513889
315	0.4316156684
320	0.4314775608
325	0.4313387153
330	0.431206684
335	0.431065408
340	0.430906684
345	0.4307424479
350	0.4305970486
355	0.4304412326
360	0.4302892795
365	0.4301342014
370	0.4300073351
375	0.429850217
380	0.4297044705
385	0.42958125
390	0.4294230903
395	0.4292886285
400	0.4291445747
405	0.4290027344
410	0.4288655382
415	0.428718533
420	0.4285782986
425	0.4284455295
430	0.4283013455
435	0.4281890191
440	0.4280547743
445	0.4279365885
450	0.4278357639
455	0.4276937934
460	0.4275768229
465	0.4274391493
470	0.4273177951
475	0.4271969618
480	0.427058724
485	0.4269136285
490	0.4267888889
495	0.4266447917
500	0.4265349826
505	0.4264167969
510	0.42629375
515	0.4261608941
520	0.4260340278
525	0.4259210937
530	0.4257796441
535	0.4256606337
540	0.4255178819
545	0.4253855035
550	0.425255599
555	0.4251399306
560	0.4249934028
565	0.4248643663
570	0.424749783
575	0.4246429688
580	0.4245393663
585	0.4244059896
590	0.4242904514
595	0.424174783
600	0.4240559028
605	0.4239311632
610	0.4237957031
615	0.4236673611
620	0.4235556858
625	0.4234292969
630	0.4233046441
635	0.4231789062
640	0.4230729601
645	0.4229509983
650	0.4228244358
655	0.4227046875
660	0.4225913628
665	0.4224733507
670	0.4223684462
675	0.422240191
680	0.4221254774
685	0.4220214844
690	0.4219038628
695	0.421781901
700	0.421653125
705	0.4215341146
710	0.4214136719
715	0.4213044705
720	0.4211856337
725	0.4210672743
730	0.4209521701
735	0.4208259549
740	0.4207205729
745	0.4206024306
750	0.4204806424
755	0.4203746962
760	0.4202650608
765	0.420162934
770	0.4200503038
775	0.4199362847
780	0.4198414062
785	0.4197415365
790	0.4196181424
795	0.4194983073
800	0.4193956163
805	0.4192779514
810	0.4191951389
815	0.4190759115
820	0.4189584635
825	0.4188641927
830	0.4187616753
835	0.4186625868
840	0.4185447049
845	0.4184315104
850	0.418321224
855	0.4182038194
860	0.4180907118
865	0.4179758681
870	0.4178487847
875	0.4177317274
880	0.4176221354
885	0.4175008247
890	0.4173947483
895	0.4172821181
900	0.4171684028
905	0.4170639323
910	0.4169593316
915	0.4168485243
920	0.4167448351
925	0.4166375434
930	0.4165169705
935	0.416427474
940	0.4163309896
945	0.4162184028
950	0.4161078125
955	0.4159866753
960	0.4158753038
965	0.4157546007
970	0.4156537326
975	0.4155361111
980	0.4154113281
985	0.4153029514
990	0.4152026476
995	0.4150865885
999	0.4149957031
