iter	Passed	Remaining
402	11421	16920
403	11449	16891
404	11475	16859
405	11505	16833
406	11534	16805
407	11563	16778
408	11591	16749
409	11620	16722
410	11650	16695
411	11681	16671
412	11710	16644
413	11736	16612
414	11763	16582
415	11789	16550
416	11817	16521
417	11844	16490
418	11871	16462
419	11902	16436
420	11930	16408
421	11959	16380
422	11987	16351
423	12018	16327
424	12046	16298
425	12073	16267
426	12099	16236
427	12126	16205
428	12153	16176
429	12182	16149
430	12212	16122
431	12236	16088
432	12264	16060
433	12294	16033
434	12320	16002
435	12347	15972
436	12375	15943
437	12401	15912
438	12428	15882
439	12457	15855
440	12484	15825
441	12510	15794
442	12538	15764
443	12564	15733
444	12592	15704
445	12618	15674
446	12644	15642
447	12670	15612
448	12695	15579
449	12721	15548
450	12747	15517
451	12775	15489
452	12801	15457
453	12827	15427
454	12854	15396
455	12884	15370
456	12909	15339
457	12937	15309
458	12966	15283
459	12993	15252
460	13018	15221
461	13045	15191
462	13072	15161
463	13101	15133
464	13130	15106
465	13157	15077
466	13182	15045
467	13209	15015
468	13239	14989
469	13264	14957
470	13290	14927
471	13316	14895
472	13345	14869
473	13373	14840
474	13400	14811
475	13427	14781
476	13455	14753
477	13484	14726
478	13511	14696
479	13539	14667
480	13566	14637
481	13595	14610
482	13629	14588
483	13656	14559
484	13683	14530
485	13712	14502
486	13741	14475
487	13769	14447
488	13796	14417
489	13823	14387
490	13850	14357
491	13878	14330
492	13907	14302
493	13933	14272
494	13963	14245
495	13993	14219
496	14021	14191
497	14050	14163
498	14079	14136
499	14105	14105
500	14133	14076
501	14161	14048
502	14187	14018
503	14215	13989
504	14241	13959
505	14270	13932
506	14296	13901
507	14322	13871
508	14350	13843
509	14379	13815
510	14406	13785
511	14431	13754
512	14459	13726
513	14485	13695
514	14513	13667
515	14541	13640
516	14565	13607
517	14591	13577
518	14619	13549
519	14647	13520
520	14674	13491
521	14701	13462
522	14729	13434
523	14756	13404
524	14783	13375
525	14812	13347
526	14840	13319
527	14871	13293
528	14899	13266
529	14931	13240
530	14957	13211
531	14983	13181
532	15009	13150
533	15035	13121
534	15065	13094
535	15094	13066
536	15125	13040
537	15153	13013
538	15185	12987
539	15216	12962
540	15243	12933
541	15271	12904
542	15298	12875
543	15327	12848
544	15353	12817
545	15379	12788
546	15405	12758
547	15435	12731
548	15459	12699
549	15486	12670
550	15516	12644
551	15544	12615
552	15572	12587
553	15601	12559
554	15627	12530
555	15654	12500
556	15682	12473
557	15710	12444
558	15737	12415
559	15763	12385
560	15790	12356
561	15815	12325
562	15843	12297
563	15872	12270
564	15901	12242
565	15929	12214
566	15956	12185
567	15984	12157
568	16008	12126
569	16035	12097
570	16061	12067
571	16090	12039
572	16115	12009
573	16144	11981
574	16169	11951
575	16196	11922
576	16221	11891
577	16247	11862
578	16271	11831
579	16296	11800
580	16323	11772
581	16347	11740
582	16377	11714
583	16403	11684
584	16430	11655
585	16459	11628
586	16484	11598
587	16510	11568
588	16538	11540
589	16567	11512
590	16595	11485
591	16622	11456
592	16651	11428
593	16675	11397
594	16704	11370
595	16731	11341
596	16758	11312
597	16786	11284
598	16817	11258
599	16843	11228
600	16871	11201
601	16899	11172
602	16924	11142
603	16953	11114
604	16980	11086
605	17008	11058
606	17037	11030
607	17065	11002
608	17092	10974
609	17122	10947
610	17150	10918
611	17175	10889
612	17202	10860
613	17230	10832
614	17258	10803
615	17285	10775
616	17311	10745
617	17338	10717
618	17364	10687
619	17393	10660
620	17419	10631
621	17447	10603
622	17472	10573
623	17497	10543
624	17526	10515
625	17555	10488
626	17582	10459
627	17609	10431
628	17636	10402
629	17667	10376
630	17697	10349
631	17725	10321
632	17752	10292
633	17779	10263
634	17807	10235
635	17833	10206
636	17860	10177
637	17887	10149
638	17912	10119
639	17939	10090
640	17966	10062
641	17995	10035
642	18024	10007
643	18048	9977
644	18077	9949
645	18106	9921
646	18131	9892
647	18159	9864
648	18189	9837
649	18218	9809
650	18246	9781
651	18271	9752
652	18298	9723
653	18328	9696
654	18357	9669
655	18387	9642
656	18414	9613
657	18442	9585
658	18467	9555
659	18496	9528
660	18526	9501
661	18552	9472
662	18581	9444
663	18608	9416
664	18633	9386
665	18662	9359
666	18689	9330
667	18717	9302
668	18742	9273
669	18769	9244
670	18794	9215
671	18820	9186
672	18848	9158
673	18875	9129
674	18902	9101
675	18929	9072
676	18954	9043
677	18979	9013
678	19009	8986
679	19035	8958
680	19062	8929
681	19089	8900
682	19114	8871
683	19142	8843
684	19170	8815
685	19196	8786
686	19224	8758
687	19252	8730
688	19280	8702
689	19304	8673
690	19333	8645
691	19361	8617
692	19390	8589
693	19418	8562
694	19443	8532
695	19472	8505
696	19500	8477
697	19528	8449
698	19557	8421
699	19588	8395
700	19618	8367
701	19643	8338
702	19670	8310
703	19697	8281
704	19726	8254
705	19752	8225
706	19779	8197
707	19810	8170
708	19839	8142
709	19867	8114
710	19894	8086
711	19921	8057
712	19950	8030
713	19977	8002
714	20006	7974
715	20033	7946
716	20063	7918
717	20091	7891
718	20119	7863
719	20145	7834
720	20172	7806
721	20202	7778
722	20226	7749
723	20252	7720
724	20280	7692
725	20307	7664
726	20334	7635
727	20361	7607
728	20389	7579
729	20419	7552
730	20445	7523
731	20472	7495
732	20498	7466
733	20528	7439
734	20557	7412
735	20584	7383
736	20609	7354
737	20637	7326
738	20665	7298
739	20694	7270
740	20722	7243
741	20748	7214
742	20775	7186
743	20802	7157
744	20831	7130
745	20860	7102
746	20888	7074
747	20915	7046
748	20942	7018
749	20972	6990
750	21000	6962
751	21027	6934
752	21056	6906
753	21085	6879
754	21114	6851
755	21141	6823
756	21169	6795
757	21197	6767
758	21223	6738
759	21253	6711
760	21281	6683
761	21306	6654
762	21333	6626
763	21359	6598
764	21386	6569
765	21416	6542
766	21444	6514
767	21473	6486
768	21501	6458
769	21530	6431
770	21555	6402
771	21581	6373
772	21611	6346
773	21641	6319
774	21670	6291
775	21696	6262
776	21722	6234
777	21748	6205
778	21774	6177
779	21800	6148
780	21827	6120
781	21854	6092
782	21882	6064
783	21906	6035
784	21934	6007
785	21961	5979
786	21990	5951
787	22017	5923
788	22046	5895
789	22071	5867
790	22101	5839
